test	test	1
I LOVE THIS RECIPE!!! I was also worried about the vinegar in the cake so I very tenatively tasted the batter...couldn't taste a bit of it. I am a total chocolate fiend and have been placed on a special diet where I can't have any dairy products I know what a chocolate cake should taste like and I was not disappointed in the least. I will most likely continue to make this recipe even after I can eat normal foods again! Thank you so much for sharing this recipe.	i love this recipe !!! i was also worried about the vinegar in the cake so i very tenatively tasted the batter ... could n't taste a bit of it . i am a total chocolate fiend and have been placed on a speci al diet where i ca n't have any dairy products i know what a chocolate cake should taste like and i was not disappointed in the least . i will most likely continue to make this recipe even after i can e at normal foods again ! thank you so much for sharing this recipe .	1
One of the better egg free chocolate cakes!! Add 1/3 bag of milk chocolate chips to the batter and it is spectacular. It really adds a lot to the chocolate sensation.	one of the better egg free chocolate cakes !! add 1/3 bag of milk chocolate chips to the batter and it is spectacular . it really adds a lot to the chocolate sensation .	1
This cake was too sweet -- there are better recipes out there in my personal opinion.	this cake was too sweet -- there are better recipes out there in my personal opinion .	1
I can't say enough about this cake it was excellent! I didn't add the liquor as I didn't have any on hand and I added whip cream into the layer and iced it with whip cream. It was so moist everybody had seconds. I found my husband the next day with a fork and the leftovers.	i ca n't say enough about this cake it was excellent ! i did n't add the liquor as i did n't have any on hand and i added whip cream into the layer and iced it with whip cream . it was so moist everybody h ad seconds . i found my husband the next day with a fork and the leftovers .	1
Omagosh this is goooood!!! I made it once as the recipe stated with cherry pie filling & cool whip topping and again with raspberry pie filling topped with a chocolate glaze and mounds of fresh raspberries. MMMMmMmmm...it was so good. The cake itself is so moist and delicous you must try this recipe.	omagosh this is goooood !!! i made it once as the recipe stated with cherry pie filling & cool whip topping and again with raspberry pie filling topped with a chocolate glaze and mounds of fresh raspbe rries . mmmmmmmmm ... it was so good . the cake itself is so moist and delicous you must try this recipe .	1
I made this as a birthday cake and it turned out wonderful. Just rich enough without being too rich very moist without falling apart. Used cool whip as a topping as the cake is fabulous enough without a frosting. Only changes I made was adding a little cardamom to the batter and I omitted the liqueur this time (but will definitely try it next time.) Will definitely make this cake again.	i made this as a birthday cake and it turned out wonderful . just rich enough without being too rich very moist without falling apart . used cool whip as a topping as the cake is fabulous enough without a frosting . only changes i made was adding a little cardamom to the batter and i omitted the liqueur this time -lrb- but will definitely try it next time . -rrb- will definitely make this cake again .	1
I barely made any changes to the actual cake portion of this recipe but did use 1/4 cup applesauce in addition to cup oil instead of a full cup of oil. I also used half of Hershey s Dark cocoa as well as regular unsweetened cocoa. Using the cake as a base I added the following loosely following another recipe: Once cake cooled I poked holes into each cake using a long tined fork then poured a mix of cherry juice and slight amount of brandy onto each cake. Then I used a mix of.5 cup creamed butter.3 cup of /granulated sugar and almond extract to make a buttercream filling and put a layer on one of the cakes. I put one can of cherry pie filling (excluding juice) on that same cake then topped with slightly sweetened heavy whipping cream. I put the other cake on top then laid another can of cherry pie filling sans juice on top followed with more whipped cream. I used 2 cups of liquid heavy whipping cream when I made the cream for the middle and top of cake which was perfect. I had one slice right away and while it was good thought it was missing something but didn t know what. The cherries were somehow boring as well. The next day somehow it was wonderful! It was very moist and the flavors were enhanced. I originally thought the buttercream was a waste of time; however each day that passes (day 3 now) the filling flavor comes out more and really makes this cake! I will definitely use this recipe for any chocolate cakes I make from now on!	i barely made any changes to the actual cake portion of this recipe but did use 1/4 cup applesauce in addition to cup oil instead of a full cup of oil . i also used half of hershey s dark cocoa as well as regular unsweetened cocoa . using the cake as a base i added the following loosely following another recipe : once cake cooled i poked holes into each cake using a long tined fork then poured a mix of cherry juice and slight amount of brandy onto each cake . then i used a mix of .5 cup creamed butter .3 cup of / granulated sugar and almond extract to make a buttercream filling and put a layer on one of the cakes . i put one can of cherry pie filling -lrb- excluding juice -rrb- on that same cake then topped with slightly sweetened heavy whipping cream . i put the other cake on top then laid another can of ch erry pie filling sans juice on top followed with more whipped cream . i used 2 cups of liquid heavy whipping cream when i made the cream for the middle and top of cake which was perfect . i had one slic e right away and while it was good thought it was missing something but didn t know what . the cherries were somehow boring as well . the next day somehow it was wonderful ! it was very moist and the fla vors were enhanced . i originally thought the buttercream was a waste of time ; however each day that passes -lrb- day 3 now -rrb- the filling flavor comes out more and really makes this cake ! i will definitely u se this recipe for any chocolate cakes i make from now on !	1
This is excellent - beautiful results with relatively little work. I whipped up a big container of Rich's Whip and put it in between the two layers with the cherry filling and on top with a few cherries for garnishes. My company was impressed with the looks and loved the taste.	this is excellent - beautiful results with relatively little work . i whipped up a big container of rich 's whip and put it in between the two layers with the cherry filling and on top with a few cherri es for garnishes . my company was impressed with the looks and loved the taste .	1
Great recipe. I did not use the liqueur though. Instead I bought the canned cherry filling washed off the liquid in it and mixed the chopped cherries with some of the whipped cream and layered the cake with it after drizzling with the cherry syrup. then topped with whipped cream. It was a super hit.	great recipe . i did not use the liqueur though . instead i bought the canned cherry filling washed off the liquid in it and mixed the chopped cherries with some of the whipped cream and layered the cak e with it after drizzling with the cherry syrup . then topped with whipped cream . it was a super hit .	1
This cake was a delicious addition to a dinner I had with friends. I used soymilk to make it vegan. I also used splenda and no sugar added cherries to make it healthier. It was amazing and delicious! Def recommend.	this cake was a delicious addition to a dinner i had with friends . i used soymilk to make it vegan . i also used splenda and no sugar added cherries to make it healthier . it was amazing and delicious ! def recommend .	1
Just an update on my review from last year. The cake is still excellent and everyone still loves it but I wanted to let you know that it is also now a blue ribbon winner! I entered it in the chocolate cake category at our county fair. I frosted it with a vanilla powdered sugar frosting and it took FIRST place. Just thought you would like to know. Thanks a gain for the terrific recipe and new family favorite. P. S. My husband is very finicky about vegetables even when they're in breads or cakes and he really loves this cake.	just an update on my review from last year . the cake is still excellent and everyone still loves it but i wanted to let you know that it is also now a blue ribbon winner ! i entered it in the chocolate cake category at our county fair . i frosted it with a vanilla powdered sugar frosting and it took first place . just thought you would like to know . thanks a gain for the terrific recipe and new famil y favorite . p. s. my husband is very finicky about vegetables even when they 're in breads or cakes and he really loves this cake .	1
I made this cake for my friend's birthday party and I copied some of the changes that the other members suggested. I  cut the oil to 3/4 cup and added 3/4 cup of apple sauce. And instead of using all, all-purpose flour, I used 1 cup of all-purpose and 1 cup of whole wheat. I also cut the sugar in half because the applesauce is sweet so that would make up for some of the missing sugar and then I added a tsp of vanilla. Anyway, when I brought this cake to my friends birthday party, everybody raved about it! Even my friend who hates all vegetables and fruits LOVED it (she still doesn't know that it was a zucchini cake because I haven't told her yet). AWESOME cake :)	i made this cake for my friend 's birthday party and i copied some of the changes that the other members suggested . i cut the oil to 3/4 cup and added 3/4 cup of apple sauce . and instead of using all , all-purpose flour , i used 1 cup of all-purpose and 1 cup of whole wheat . i also cut the sugar in half because the applesauce is sweet so that would make up for some of the missing sugar and then i ad ded a tsp of vanilla . anyway , when i brought this cake to my friends birthday party , everybody raved about it ! even my friend who hates all vegetables and fruits loved it -lrb- she still does n't know that it was a zucchini cake because i have n't told her yet -rrb- . awesome cake :-rrb-	1
Don't make this cake before reading this review!!!! The cake was wonderful but please don't add 1 1/2 cups of oil! We all agreed that 1 cup was just right - too much more would have resulted in a dense greasy cake. No need to use applesauce for some of the oil either. This cake was perfectly moist with just 1 cup of oil. We also left out the nuts which was just fine. I used olive oil as I do with most of my baking and it was great. We all agreed the cake tasted better room temp the next day rather than warm out of the oven. Thanks for a wonderful recipe!	do n't make this cake before reading this review !!!! the cake was wonderful but please do n't add 1 1/2 cups of oil ! we all agreed that 1 cup was just right - too much more would have resulted in a dens e greasy cake . no need to use applesauce for some of the oil either . this cake was perfectly moist with just 1 cup of oil . we also left out the nuts which was just fine . i used olive oil as i do with most of my baking and it was great . we all agreed the cake tasted better room temp the next day rather than warm out of the oven . thanks for a wonderful recipe !	1
Great Cake!  and Easy to make too!  Great in bundt pan rather than 9x13 cake plan.  No icing required.	great cake ! and easy to make too ! great in bundt pan rather than 9 x13 cake plan . no icing required .	1
This cake was extremely moist; however it had a somewhat bitter flavor. Too much cocoa powder? I will try it again and use 2/3 cup rather than 3/4 cup cocoa.	this cake was extremely moist ; however it had a somewhat bitter flavor . too much cocoa powder ? i will try it again and use 2/3 cup rather than 3/4 cup cocoa .	1
I made 2 cakes. The 1st one wasn't very appealing but it tasted great. The 2nd one looked beautiful and tasted even better. What did I do different the 2nd time? I read the cheesecake techniques article found on this website. I wrapped foil around the bottom of my pan & placed the pan on a cookie sheet. Then I filled the cookie sheet w/water. I baked the cheesecake for an hour then turned the oven off & let the cheesecake sit in the oven for another hour. This prevents the cake from sinking in the middle. Everyone loved it! It was delicious and I can't wait to make it again.	i made 2 cakes . the 1 st one was n't very appealing but it tasted great . the 2 nd one looked beautiful and tasted even better . what did i do different the 2 nd time ? i read the cheesecake techniques artic le found on this website . i wrapped foil around the bottom of my pan & placed the pan on a cookie sheet . then i filled the cookie sheet w/water . i baked the cheesecake for an hour then turned the oven off & let the cheesecake sit in the oven for another hour . this prevents the cake from sinking in the middle . everyone loved it ! it was delicious and i ca n't wait to make it again .	1
