Delicious warm or cold. A staple for every vegan kitchen!	delicious warm or cold . a staple for every vegan kitchen !	1
There's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it's cooked. Sure, you have to stir it a few times, and it helps if you add stuff in the right order. But for how delicious this comes out, you're doing very little actual work.	there 's something extra satisfying about a recipe like this one-pot chicken and sausage orzo dish where you just basically dump the ingredients in a pot and wait until it 's cooked . sure , you have to s tir it a few times , and it helps if you add stuff in the right order . but for how delicious this comes out , you 're doing very little actual work .	1
Orzo gets cooked risotto-style, using a flavorful stock made with braised chicken and sausage.	orzo gets cooked risotto-style , using a flavorful stock made with braised chicken and sausage .	1
An easy to make light salad that can be served with or without chicken for vegetarians.	an easy to make light salad that can be served with or without chicken for vegetarians .	1
I sometimes chop up a chipotle pepper and throw it in with some adobo sauce for a twist.  I don't measure spices, so my measurements are conservative.	i sometimes chop up a chipotle pepper and throw it in with some adobo sauce for a twist . i do n't measure spices , so my measurements are conservative .	1
This stunning dish is an amazing combination of sweet, spicy, and salty flavors all sticking to succulent pieces of chicken.	this stunning dish is an amazing combination of sweet , spicy , and salty flavors all sticking to succulent pieces of chicken .	1
In this Basque-inspired braised lamb shoulder, the radishes that are cooked with the lamb absorb the other flavors in the dish. I really hope you give this strange, but exciting braised lamb dish a try soon.	in this basque-inspired braised lamb shoulder , the radishes that are cooked with the lamb absorb the other flavors in the dish . i really hope you give this strange , but exciting braised lamb dish a tr y soon .	1
Chicken à la King is one of my favorite classic comfort foods. This recipe is easy to adapt--you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand. Usually I make this with leftovers from a large roasted chicken. Serve over pasta, toast, rice, or mashed potatoes.	chicken à la king is one of my favorite classic comfort foods . this recipe is easy to adapt -- you can make it thicker or thinner by changing the amount of roux and having a little extra stock on hand . usually i make this with leftovers from a large roasted chicken . serve over pasta , toast , rice , or mashed potatoes .	1
Rocket is another name for arugula. I love to use it as an herb, but don't buy it in the herb section of the supermarket; buy it in the lettuce section. This is an incredibly fast, incredibly simple, but satisfying rustic bean side dish.	rocket is another name for arugula . i love to use it as an herb , but do n't buy it in the herb section of the supermarket ; buy it in the lettuce section . this is an incredibly fast , incredibly simple , but satisfying rustic bean side dish .	1
A savory combination of chicken, sweet potato, and spinach is seasoned with sage, sweetened with pear, given a splash of whiskey for a kick, and topped with toasted hazelnuts. It makes a lovely fall supper!	a savory combination of chicken , sweet potato , and spinach is seasoned with sage , sweetened with pear , given a splash of whiskey for a kick , and topped with toasted hazelnuts . it makes a lovely fall s upper !	1
A great chicken recipe that I have made for years. Serve with rice and a fresh veggie. Impressive!	a great chicken recipe that i have made for years . serve with rice and a fresh veggie . impressive !	1
An economical and family-friendly meal.	an economical and family-friendly meal .	1
This chicken is good with either rice or pasta. Green beans make a nice side dish.	this chicken is good with either rice or pasta . green beans make a nice side dish .	1
This recipe came about from a lot of experimenting over the years. My family and friends like this version the best. Serve over cooked rice.	this recipe came about from a lot of experimenting over the years . my family and friends like this version the best . serve over cooked rice .	1
This soup is so yummy on a cold day.	this soup is so yummy on a cold day .	1
This delicious chicken recipe includes a simple exercise in pan gravy perfection. If I only had one day to teach someone how to cook, you better believe this archetypal sauce recipe would be one of the first things I'd demonstrate.	this delicious chicken recipe includes a simple exercise in pan gravy perfection . if i only had one day to teach someone how to cook , you better believe this archetypal sauce recipe would be one of th e first things i 'd demonstrate .	1
For something that looks and tastes as impressive as this beef rouladen, it's actually one of the simplest stuffed meat recipes I know. You can pretty much use any cheap cut of beef; I used round steak, but rump, chuck, flap meat, and other similar cuts will work work.	for something that looks and tastes as impressive as this beef rouladen , it 's actually one of the simplest stuffed meat recipes i know . you can pretty much use any cheap cut of beef ; i used round stea k , but rump , chuck , flap meat , and other similar cuts will work work .	1
If you love chicken cordon bleu because of its winning flavor combination of chicken, ham, and Gruyere cheese, you'll love this sandwich. It has all the satisfying flavors of chicken cordon bleu with half the work!	if you love chicken cordon bleu because of its winning flavor combination of chicken , ham , and gruyere cheese , you 'll love this sandwich . it has all the satisfying flavors of chicken cordon bleu with half the work !	1
Certain dishes have a special place in my heart and this is one of them. The first real restaurant job I had in San Francisco was at a small place called Ryan's Cafe. It was run by a husband and wife team, Michael and Lenore Ryan. They were true 'foodies' before that term had even been coined. This chicken Marsala dish was the most popular dish on the menu and the first one that I was taught.	certain dishes have a special place in my heart and this is one of them . the first real restaurant job i had in san francisco was at a small place called ryan 's cafe . it was run by a husband and wife team , michael and lenore ryan . they were true ` foodies ' before that term had even been coined . this chicken marsala dish was the most popular dish on the menu and the first one that i was taught .	1
Chicken French has everything I love in a recipe. It's delicious and easy, frugal, yet fancy, and everyone loves it. Better yet, it has a vague, confusing history and completely preposterous name. This not-French recipe hails from the Rochester area of New York State, where it's a staple on virtually every Italian-American restaurant menu.	chicken french has everything i love in a recipe . it 's delicious and easy , frugal , yet fancy , and everyone loves it . better yet , it has a vague , confusing history and completely preposterous name . thi s not-french recipe hails from the rochester area of new york state , where it 's a staple on virtually every italian-american restaurant menu .	1
There is something special about what yogurt does to chicken in its smoky, sizzling time over charcoal. It imparts a tangy flavor that lifts all the other flavorings. It tenderizes slightly, without turning the meat into mush. It grills to a caramelized dark brown without tasting burnt.	there is something special about what yogurt does to chicken in its smoky , sizzling time over charcoal . it imparts a tangy flavor that lifts all the other flavorings . it tenderizes slightly , without t urning the meat into mush . it grills to a caramelized dark brown without tasting burnt .	1
I decided to not follow any specific recipe from any particular country or culture, but instead I made a simple composite of every peanut curry I've ever come across. I didn't use coconut milk, as I feel that's a little too sweet and rich for the peanut butter. I loved how this came out, and I can't imagine it being any richer.	i decided to not follow any specific recipe from any particular country or culture , but instead i made a simple composite of every peanut curry i 've ever come across . i did n't use coconut milk , as i f eel that 's a little too sweet and rich for the peanut butter . i loved how this came out , and i ca n't imagine it being any richer .	1
This sauce goes by many names, including Sunday sauce, since that's the day it's traditionally made, but for me growing up, this was just called 'sauce.' As long as you cook the meat long enough, and season thoughtfully, there's really no way this sauce isn't going to be great. So, while you may not have grown up in an Italian-American home, with this comforting sauce simmering on the stove every Sunday, your family still can. Serve the sauce over pasta and top with the tender meat.	this sauce goes by many names , including sunday sauce , since that 's the day it 's traditionally made , but for me growing up , this was just called ` sauce . ' as long as you cook the meat long enough , and season thoughtfully , there 's really no way this sauce is n't going to be great . so , while you may not have grown up in an italian-american home , with this comforting sauce simmering on the stove every sunday , your family still can . serve the sauce over pasta and top with the tender meat .	1
Simple to make, just dip and bake! Garlicky goodness in a breaded chicken dish. Yum!	simple to make , just dip and bake ! garlicky goodness in a breaded chicken dish . yum !	1
I wanted to make a quick and light recipe using quinoa, and I had some asparagus and red peppers in the fridge -- who knew that the combination could taste so good!	i wanted to make a quick and light recipe using quinoa , and i had some asparagus and red peppers in the fridge -- who knew that the combination could taste so good !	1
This is one of those rare recipes where the name is the same as the ingredient list. You're going to be so shocked at how flavorful, juicy, and amazing this roast chicken comes out.	this is one of those rare recipes where the name is the same as the ingredient list . you 're going to be so shocked at how flavorful , juicy , and amazing this roast chicken comes out .	1
I love chicken satay, that spicy meat on a stick, marinated and grilled and served with a peanut sauce. I tried to get that same effect with a chicken burger.	i love chicken satay , that spicy meat on a stick , marinated and grilled and served with a peanut sauce . i tried to get that same effect with a chicken burger .	1
In this rack of lamb recipe, we're actually roasting the meat over the sauce. And not just any sauce: we spiked this beurre rouge (red wine butter sauce) with fresh blueberries, and the small, dark fruit performed beautifully.	in this rack of lamb recipe , we 're actually roasting the meat over the sauce . and not just any sauce : we spiked this beurre rouge -lrb- red wine butter sauce -rrb- with fresh blueberries , and the small , dark fr uit performed beautifully .	1
This chicken has an Indian flair to it, but it is mild and will be loved by anyone who loves the flavor of cilantro. It requires some work so it is only for people who are adventurous and looking for something new. Adjust the amount of cilantro--adding up to an extra bunch--to suite your tastes. Try serving with bread and rice.	this chicken has an indian flair to it , but it is mild and will be loved by anyone who loves the flavor of cilantro . it requires some work so it is only for people who are adventurous and looking for something new . adjust the amount of cilantro -- adding up to an extra bunch -- to suite your tastes . try serving with bread and rice .	1
This stuffed, prosciutto-wrapped chicken breast has everything you want in a Valentine's Day entree; it looks fancy, it tastes amazing, and contains dried cherries, a known aphrodisiac.	this stuffed , prosciutto-wrapped chicken breast has everything you want in a valentine 's day entree ; it looks fancy , it tastes amazing , and contains dried cherries , a known aphrodisiac .	1
There aren't a lot of great uses for leftover pickle juice. I did hear recently that some people like to drink this stuff after jogging, which I found to be quite shocking, since I had no idea people still jogged. Like most brined recipes, the payoff is in the texture and moisture content and not necessarily in the taste. Having said that, these did have a nice little twang. So the next time you have nothing left in the pickle jar but the juice, you now know what to do.	there are n't a lot of great uses for leftover pickle juice . i did hear recently that some people like to drink this stuff after jogging , which i found to be quite shocking , since i had no idea people still jogged . like most brined recipes , the payoff is in the texture and moisture content and not necessarily in the taste . having said that , these did have a nice little twang . so the next time you h ave nothing left in the pickle jar but the juice , you now know what to do .	1
While not identical to a pan-fried, breaded cutlet, if you want to eat tender, flavorful chicken with lots of crispy, crunchy bits, then this significantly less-messy method is for you. One of the keys to this technique is to use panko breadcrumbs, which are much larger and more jagged than regular, fine breadcrumbs. This method also allows us to introduce some additional flavor, and moisture, thanks to the 'glue' we use to attach the crumbs.	while not identical to a pan-fried , breaded cutlet , if you want to eat tender , flavorful chicken with lots of crispy , crunchy bits , then this significantly less-messy method is for you . one of the key s to this technique is to use panko breadcrumbs , which are much larger and more jagged than regular , fine breadcrumbs . this method also allows us to introduce some additional flavor , and moisture , tha nks to the ` glue ' we use to attach the crumbs .	1
I love the tangy tenderization that the buttermilk provides. After the buttermilk soak, dredge the chicken pieces in seasoned flour, and fry them in hot oil until crisp and cooked.	i love the tangy tenderization that the buttermilk provides . after the buttermilk soak , dredge the chicken pieces in seasoned flour , and fry them in hot oil until crisp and cooked .	1
When I'm cooking corned beef, watching it simmer in the aromatic broth, I'll sometimes close my eyes and picture the delicious plate of food I have coming. The funny thing is, it's not the sliced corned beef and cabbage I'm dreaming of, it's the corned beef hash I'm going to be making with the leftovers. Garnish with green onions and a poached egg.	when i 'm cooking corned beef , watching it simmer in the aromatic broth , i 'll sometimes close my eyes and picture the delicious plate of food i have coming . the funny thing is , it 's not the sliced corn ed beef and cabbage i 'm dreaming of , it 's the corned beef hash i 'm going to be making with the leftovers . garnish with green onions and a poached egg .	1
This technique turns out beautifully light, tender gnocchi every time and are just as good, if not better, than the classic potato-based gnocchi. And much easier. Plus you can make them ahead of time and brown them in butter before serving.	this technique turns out beautifully light , tender gnocchi every time and are just as good , if not better , than the classic potato-based gnocchi . and much easier . plus you can make them ahead of time and brown them in butter before serving .	1
This is an easy-to-prepare, wonderful, flavorful pasta dish that gets rave reviews! I have had many friends ask me for this recipe. After my friends prepared this dish for their friends, their friends would ask my friends for it. Goes well with a crisp, green salad and garlic bread.	this is an easy-to-prepare , wonderful , flavorful pasta dish that gets rave reviews ! i have had many friends ask me for this recipe . after my friends prepared this dish for their friends , their friends would ask my friends for it . goes well with a crisp , green salad and garlic bread .	1
An Indonesian-Chinese stir-fry meal. All that you want in a meal. Delicious, fast, healthy, low calorie, and impressive. Serve it hot over white rice.	an indonesian-chinese stir-fry meal . all that you want in a meal . delicious , fast , healthy , low calorie , and impressive . serve it hot over white rice .	1
This is a quick and interesting recipe to prepare posole for unexpected guests or to take to a potluck party.  My husband loves it.  I have played around with this recipe A LOT.  You can use 1 (10 ounce) package of frozen corn instead of hominy, or delete the chilies or olives.  I prepare mine depending on whether children are going to eat it or not.	this is a quick and interesting recipe to prepare posole for unexpected guests or to take to a potluck party . my husband loves it . i have played around with this recipe a lot . you can use 1 -lrb- 10 oun ce -rrb- package of frozen corn instead of hominy , or delete the chilies or olives . i prepare mine depending on whether children are going to eat it or not .	1
Chicken, vegetables and pasta make up this filling salad which everyone seems to like, even people who don't like pasta salad. This is great for hot summer days when you just don't feel like turning on the oven. Note: the amounts here are estimates, as I rarely measure when I make this salad, so feel free to add a bit more or less of whatever you please.	chicken , vegetables and pasta make up this filling salad which everyone seems to like , even people who do n't like pasta salad . this is great for hot summer days when you just do n't feel like turning o n the oven . note : the amounts here are estimates , as i rarely measure when i make this salad , so feel free to add a bit more or less of whatever you please .	1
Fried green tomatoes are a southern American classic. Such an easy recipe! Serve with a little dollop of spicy remoulade sauce (which is Southern for tartar sauce). Oh yeah.	fried green tomatoes are a southern american classic . such an easy recipe ! serve with a little dollop of spicy remoulade sauce -lrb- which is southern for tartar sauce -rrb- . oh yeah .	1
I love a hearty beef chili as much as the next guy, but once in a while there's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili.	i love a hearty beef chili as much as the next guy , but once in a while there 's nothing wrong with going over to the light side and enjoying an equally comforting bowl of white bean and chicken chili .	1
Not only does adding sweet potatoes to a burger bun make it more nutritious, delicious, and significantly more beautiful, but it also presents the perfect opportunity to get past your flour-amount phobia, and finally be able to make dough by feel. These are the perfect taste, texture, and appearance for a hamburger bun.	not only does adding sweet potatoes to a burger bun make it more nutritious , delicious , and significantly more beautiful , but it also presents the perfect opportunity to get past your flour-amount pho bia , and finally be able to make dough by feel . these are the perfect taste , texture , and appearance for a hamburger bun .	1
This recipe is the best of three chicken dinner favorites--chicken and biscuits, chicken pot pie, and chicken and dumplings--all in one!	this recipe is the best of three chicken dinner favorites -- chicken and biscuits , chicken pot pie , and chicken and dumplings -- all in one !	1
When I'm at a taqueria, it's hard to decide between the chicken with green sauce or with red sauce. Here's my version of the red sauce. It's great on a crispy tortilla and topped with the usual suspects.	when i 'm at a taqueria , it 's hard to decide between the chicken with green sauce or with red sauce . here 's my version of the red sauce . it 's great on a crispy tortilla and topped with the usual suspec ts .	1
This is by far the best stuffing recipe I have ever had. I have made it for the last 3 Thanksgivings and everyone has raved about it. It is very unique and the flavors are so delicious!!! Serve this up for Thanksgiving and your guests will be asking for the recipe!!!	this is by far the best stuffing recipe i have ever had . i have made it for the last 3 thanksgivings and everyone has raved about it . it is very unique and the flavors are so delicious !!! serve this u p for thanksgiving and your guests will be asking for the recipe !!!	1
Serve this with a hearty appetite.	serve this with a hearty appetite .	1
Make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos. Note that this is a green chili made with chicken and not a chili made with green chicken. Sorry if this disappoints anyone. You can serve it with sour cream, avocado, cilantro, and corn tortillas or corn bread.	make this easier version of chili verde using chicken and a tomatillo-based green salsa instead of roasting and pureeing fresh tomatillos . note that this is a green chili made with chicken and not a c hili made with green chicken . sorry if this disappoints anyone . you can serve it with sour cream , avocado , cilantro , and corn tortillas or corn bread .	1
This simple Italian dish is packed with chicken, peppers, mushrooms and herbs for a satisfying one pot meal.	this simple italian dish is packed with chicken , peppers , mushrooms and herbs for a satisfying one pot meal .	1
Despite the rich and decadent mascarpone, the sauce for this spaghetti is actually pretty light; much of the sauce is chicken broth and squash.	despite the rich and decadent mascarpone , the sauce for this spaghetti is actually pretty light ; much of the sauce is chicken broth and squash .	1
A filling, rich breaded chicken that is baked. A comfort food that is good with mashed potatoes!	a filling , rich breaded chicken that is baked . a comfort food that is good with mashed potatoes !	1
While you may see this dish frequently at American Chinese restaurants, it is actually a true Cantonese dish. This is the Americanized version that will duplicate what you're used to eating for take-out. You can substitute sherry and soy sauce for the white wine to make a version with brown sauce.	while you may see this dish frequently at american chinese restaurants , it is actually a true cantonese dish . this is the americanized version that will duplicate what you 're used to eating for take-o ut . you can substitute sherry and soy sauce for the white wine to make a version with brown sauce .	1
Crisp lettuce leaves make a crunchy and refreshing wrapper for the teriyaki chicken mixture.	crisp lettuce leaves make a crunchy and refreshing wrapper for the teriyaki chicken mixture .	1
St. Patrick's Day is right around the corner, and what better way to celebrate than with a loaf or two of Irish soda bread? If made correctly, this is one of the best quick breads (those leavened without yeast) you'll ever have. Subtly sweet, with a light, tender crumb, and not at all dry. You can use quick-cooking oats in place of rolled oats, if desired.	st. patrick 's day is right around the corner , and what better way to celebrate than with a loaf or two of irish soda bread ? if made correctly , this is one of the best quick breads -lrb- those leavened with out yeast -rrb- you 'll ever have . subtly sweet , with a light , tender crumb , and not at all dry . you can use quick-cooking oats in place of rolled oats , if desired .	1
The trick to keeping these oven-baked chicken wings crispy, is parboiling the wings in a flavorful liquid, which helps season the chicken and produce a surface texture in the oven that your guests will swear came straight out of a deep fryer.	the trick to keeping these oven-baked chicken wings crispy , is parboiling the wings in a flavorful liquid , which helps season the chicken and produce a surface texture in the oven that your guests wil l swear came straight out of a deep fryer .	1
At some point this summer, you'll get tired of grilled chicken. No matter the marinade or the delivery system, you will simply reach your limit, and that's when you need to reach for the chorizo. Impale a few slices of this famously delicious Spanish sausage in between your chunks of chicken. As it grills it will splatter its spicy, smokey fat all over its much blander skewer-mate, and once again you and grilled chicken will be good buddies.	at some point this summer , you 'll get tired of grilled chicken . no matter the marinade or the delivery system , you will simply reach your limit , and that 's when you need to reach for the chorizo . impa le a few slices of this famously delicious spanish sausage in between your chunks of chicken . as it grills it will splatter its spicy , smokey fat all over its much blander skewer-mate , and once again you and grilled chicken will be good buddies .	1
You can't keep showing up at these Super Bowl parties with a bag of chips every year. So, if you're ready to go from snack scrub to appetizer all-star, then give this great baked dip a try.	you ca n't keep showing up at these super bowl parties with a bag of chips every year . so , if you 're ready to go from snack scrub to appetizer all-star , then give this great baked dip a try .	1
These colors don't run, but they do stain, so I recommend eating this delicious, red, white and blueberry chicken outdoors at a barbeque. Smoky, spicy meats have been paired with sweet-and-sour, fruit-based sauces since we've had cooks, so that this combo works beautifully is no big surprise. And yes, other juicy fruit like peaches, or other berries will work nicely.	these colors do n't run , but they do stain , so i recommend eating this delicious , red , white and blueberry chicken outdoors at a barbeque . smoky , spicy meats have been paired with sweet-and-sour , fruit - based sauces since we 've had cooks , so that this combo works beautifully is no big surprise . and yes , other juicy fruit like peaches , or other berries will work nicely .	1
An extremely delicious meal: the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce. Be sure to taste and salt before serving, because depending on what kind of chicken broth you use, the dish may require no salt at all or may be extremely under-salted.	an extremely delicious meal : the crunch of pine nuts and the tang of sun-dried tomatoes combine with chicken and pasta in a heavenly pesto cream sauce . be sure to taste and salt before serving , becaus e depending on what kind of chicken broth you use , the dish may require no salt at all or may be extremely under-salted .	1
Lovingly known as just 'green spaghetti' in our family, this pesto is unique because of the addition of cream cheese which gives it a great creamy texture (plus no pine nuts!).	lovingly known as just ` green spaghetti ' in our family , this pesto is unique because of the addition of cream cheese which gives it a great creamy texture -lrb- plus no pine nuts ! -rrb- .	1
Tastes like the best apple pie you have ever had. Make people guess what it is! They will want another slice.	tastes like the best apple pie you have ever had . make people guess what it is ! they will want another slice .	1
This pie does not sound very appetizing, but it is very good.  To me it tastes like pumpkin pie.  It is a good, tasty way to use up your tomatoes in the fall when you are tired of them.	this pie does not sound very appetizing , but it is very good . to me it tastes like pumpkin pie . it is a good , tasty way to use up your tomatoes in the fall when you are tired of them .	1
This was given to my mom by her best friend who is a southern girl at heart. It is a sweet and savory flavor that you never forget. Try it with a grilled cheese or on scrambled eggs...you can put it on anything!	this was given to my mom by her best friend who is a southern girl at heart . it is a sweet and savory flavor that you never forget . try it with a grilled cheese or on scrambled eggs ... you can put it o n anything !	1
When it comes to mustard, sweet-hot works amazingly well, especially as a glaze for chicken. Even though we are using skin-on bone-in chicken thighs, I'm sure it will work with any cut of chicken. By the time this is done, it doesn't have a super-strong mustard flavor. It gets mellowed out by the brown sugar and spices. The old saying 'The closer the bone, the sweeter the meat' really is true. Leaving in the bones adds a lot of flavor and juiciness.	when it comes to mustard , sweet-hot works amazingly well , especially as a glaze for chicken . even though we are using skin-on bone-in chicken thighs , i 'm sure it will work with any cut of chicken . by the time this is done , it does n't have a super-strong mustard flavor . it gets mellowed out by the brown sugar and spices . the old saying ` the closer the bone , the sweeter the meat ' really is true . lea ving in the bones adds a lot of flavor and juiciness .	1
This may not be an authentic Yucatan peninsula recipe, but it's just like a similarly named dish I had at a sports bar. It has vibrant citrus/chile flavors and a beautiful orange hue from ground annatto.	this may not be an authentic yucatan peninsula recipe , but it 's just like a similarly named dish i had at a sports bar . it has vibrant citrus/chile flavors and a beautiful orange hue from ground annat to .	1
Brussels sprouts with bacon and garlic are skillet-braised until tender and delicious.	brussels sprouts with bacon and garlic are skillet-braised until tender and delicious .	1
Brussels Sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds.  This recipe has made Brussels sprouts lovers out of haters.	brussels sprouts are shredded like cabbage and quickly sauteed in bacon drippings with garlic and almonds . this recipe has made brussels sprouts lovers out of haters .	1
These hand pies, also known as turnovers, look too perfect to be homemade. Any of your favorite pie fillings, both sweet and savory, will work. I hope you give this easy technique a try soon. Enjoy!	these hand pies , also known as turnovers , look too perfect to be homemade . any of your favorite pie fillings , both sweet and savory , will work . i hope you give this easy technique a try soon . enjoy !	1
Slow-cooked and flavorful, this dish is superb served over the curried couscous available on store shelves! We like it spicy.	slow-cooked and flavorful , this dish is superb served over the curried couscous available on store shelves ! we like it spicy .	1
This simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of South American cooking. It's great served over pasta or rice.	this simple chicken in a vibrant coconut milk sauce will fill your kitchen with the enticing aromas of south american cooking . it 's great served over pasta or rice .	1
My friend's wife introduced me to this recipe. I HATE broccoli, but loved this soup. I ate every drop. It's simple and good!	my friend 's wife introduced me to this recipe . i hate broccoli , but loved this soup . i ate every drop . it 's simple and good !	1
The last recipe you'll ever have to get for Baked Potato Soup.  It's thick soup and could be served with just a salad.  Everyone in the family will love this one.	the last recipe you 'll ever have to get for baked potato soup . it 's thick soup and could be served with just a salad . everyone in the family will love this one .	1
A few fresh ingredients transform chicken and pasta into this simple and creamy flavor-filled dish.	a few fresh ingredients transform chicken and pasta into this simple and creamy flavor-filled dish .	1
Chicken breasts simmered in a creamy sauce make an easy but elegant dinner.	chicken breasts simmered in a creamy sauce make an easy but elegant dinner .	1
